"EventId","EventTemplate","Occurrences"
"E0","('restart.',)","42"
"E1","('succeeded',)","16"
"E2","('started.',)","8"
"E3","('running',)","8"
"E4","('Closing',)","1"
"E5","('terminating',)","3"
"E6","('.',)","6"
"E7","('exiting',)","2"
"E8","('Exiting...',)","4"
"E9","('Exiting',)","4"
"E10","('syslogd', 'startup', 'succeeded')","9"
"E11","('syslogd', 'shutdown', 'succeeded')","1"
"E12","('klogd', 'startup', 'succeeded')","9"
"E13","('klogd', 'shutdown', 'succeeded')","5"
"E14","('<*>', 'HIGHMEM', '<*>')","8"
"E15","('<*>', 'LOWMEM', '<*>')","8"
"E16","('Built', '<*>', '<*>')","8"
"E17","('Capability', 'LSM', '<*>')","8"
"E18","('Version', '<*>', '<*>')","8"
"E19","('ACPI:', 'Interpreter', '<*>')","8"
"E20","('Initializing', 'Cryptographic', '<*>')","8"
"E21","('sdpd', '<*>', '<*>')","8"
"E22","('ide-floppy', 'driver', '<*>')","8"
"E23","('md:', 'autorun', '<*>')","8"
"E24","('SCSI', 'subsystem', '<*>')","8"
"E25","('lp0:', 'console', '<*>')","8"
"E26","('using', '<*>', '<*>')","8"
"E27","('NET-SNMP', 'version', '<*>')","8"
"E28","('<*>', 'records', '<*>')","8"
"E29","('zapping', 'low', 'mappings.')","8"
"E30","('DMI', '<*>', 'present.')","8"
"E31","('mtrr:', '<*>', '<*>')","8"
"E32","('cdrom:', 'open', 'failed.')","8"
"E33","('irqbalance', 'startup', 'succeeded')","8"
"E34","('rpc.idmapd', 'startup', 'succeeded')","8"
"E35","('hcid', 'startup', 'succeeded')","8"
"E36","('automount', 'startup', 'succeeded')","8"
"E37","('htt', 'startup', 'succeeded')","8"
"E38","('anacron', 'startup', 'succeeded')","8"
"E39","('portmap', 'startup', 'succeeded')","8"
"E40","('rpc.statd', 'startup', 'succeeded')","8"
"E41","('apmd', 'startup', 'succeeded')","8"
"E42","('spamd', 'startup', 'succeeded')","8"
"E43","('privoxy', 'startup', 'succeeded')","8"
"E44","('gpm', 'startup', 'succeeded')","8"
"E45","('crond', 'startup', 'succeeded')","8"
"E46","('xfs', 'startup', 'succeeded')","8"
"E47","('atd', 'startup', 'succeeded')","8"
"E48","('messagebus', 'startup', 'succeeded')","8"
"E49","('httpd', 'startup', 'succeeded')","8"
"E50","('named', 'startup', 'succeeded')","8"
"E51","('snmpd', 'startup', 'succeeded')","8"
"E52","('messagebus', '-TERM', 'succeeded')","3"
"E53","('atd', 'shutdown', 'succeeded')","4"
"E54","('privoxy', 'shutdown', 'succeeded')","4"
"E55","('xfs', 'shutdown', 'succeeded')","3"
"E56","('gpm', 'shutdown', 'succeeded')","4"
"E57","('httpd', 'shutdown', 'succeeded')","4"
"E58","('spamd', 'shutdown', 'succeeded')","4"
